,BAC US Equity,CVX US Equity,CSCO US Equity,COP US Equity,GE US Equity,GS US Equity,JPM US Equity,JNJ US Equity,MSFT US Equity,PEP US Equity,PG US Equity,SLB US Equity,GOOGL US Equity,III LN Equity,AHT LN Equity,ABF LN Equity,AZN LN Equity,BAB LN Equity,BATS LN Equity,CCL LN Equity,DCC LN Equity,EXPN LN Equity,GLEN LN Equity,IAG LN Equity,LLOY LN Equity,MERL LN Equity,PSN LN Equity,PFG LN Equity,PRU LN Equity,REL LN Equity,RIO LN Equity,SDR LN Equity,ULVR LN Equity,VOD LN Equity,WPP LN Equity,BRFS US Equity,UGP US Equity,GGB US Equity,BAK US Equity,FBR US Equity,GOL US Equity,GFA US Equity,2388 HK Equity,1 HK Equity,939 HK Equity
2016-02-10,11.98,83.04,22.51,32.34,28.3,147.23,55.52,101.73,49.71,97.62,81.62,67.73,706.85,403.7,798.5,3041,4009,869.5,3692.5,3118,5015,1107,93.5,507,58.4,393.9,1912,2855,1175.5,1151,1765,2441,2940.5,202.1,1385,12.77,14.51,1.04,11.75,9.67,4.6338,1.14,19.72,95.15,4.64
2016-02-11,11.16,82.99,24.68,31.88,27.45,140.69,53.07,101.7,49.69,96.9,79.9,68.83,706.36,389.8,769,3000,3991,854,3681,3044,5230,1073,87.68,478.5,56,385.1,1872,2809,1087,1132,1705,2342,2905,200.6,1368,12.41,14.15,0.9315,11.39,9.49,4.5,1.13,19.08,93.6,4.43
2016-02-12,11.95,85.43,25.11,32.9,28.26,146.13,57.49,101.82,50.5,98.49,80.99,70.31,706.89,400.9,805,3052,4046.5,868.5,3708.5,3106,5355,1102,98.46,479.8,58.48,394.4,1895,3019,1157.5,1139,1847.5,2383,2944.5,205.45,1391,12.72,14.61,0.9542,11.59,9.61,4.7,1.15,18.98,91.95,4.31
2016-02-13,11.95,85.43,25.11,32.9,28.26,146.13,57.49,101.82,50.5,98.49,80.99,70.31,706.89,400.9,805,3052,4046.5,868.5,3708.5,3106,5355,1102,98.46,479.8,58.48,394.4,1895,3019,1157.5,1139,1847.5,2383,2944.5,205.45,1391,12.72,14.61,0.9542,11.59,9.61,4.7,1.15,18.98,91.95,4.31
2016-02-14,11.95,85.43,25.11,32.9,28.26,146.13,57.49,101.82,50.5,98.49,80.99,70.31,706.89,400.9,805,3052,4046.5,868.5,3708.5,3106,5355,1102,98.46,479.8,58.48,394.4,1895,3019,1157.5,1139,1847.5,2383,2944.5,205.45,1391,12.72,14.61,0.9542,11.59,9.61,4.7,1.15,18.98,91.95,4.31
2016-02-15,11.95,85.43,25.11,32.9,28.26,146.13,57.49,101.82,50.5,98.49,80.99,70.31,706.89,412.3,821.5,3119,4151,897,3775,3149,5385,1119,101.2,504.5,59.84,401.8,1928,3107,1194,1162,1851,2423,3012,209.45,1432,12.72,14.61,0.9542,11.59,9.61,4.7,1.15,19.66,93.5,4.53
2016-02-16,12.25,84.81,25.84,32.76,28.86,149.02,58.35,102.32,51.09,98.6,81.47,71.75,717.64,409.4,836,3153,4184,893,3844,3194,5480,1126,102.95,518,60.55,415,1952,3092,1183.5,1183,1852,2389,3015,211,1442,12.85,14.52,1.03,11.82,9.96,4.05,1.17,19.74,94.9,4.62
2016-02-17,12.56,88.31,26.46,33.91,29.34,150.94,58.77,102.5,52.42,99.55,82.45,72.93,731.97,424.1,862.5,3259,4279.5,922,3890,3301,5675,1162,120,528,62.79,429.5,1998,3184,1248,1207,1951,2488,3050,217.3,1481,13.21,15.06,1.07,12.18,10.08,4.7763,1.2,19.24,95.05,4.54
2016-02-18,12.24,86.73,26.43,33.7,29.08,147.73,57.81,104.24,52.19,99.62,81.98,72.68,717.51,423.3,855.5,3229,4129.5,923.5,3849.5,3275,5620,1160,117.9,541.5,62.44,431.1,2045,3174,1246.5,1209,1888.5,2492,3025.5,215.55,1471,13.21,15.25,1.03,12.77,9.93,4.5713,1.17,19.52,95.85,4.65
2016-02-19,12.13,86.5,26.55,32.87,29.02,146.91,57.82,104.16,51.82,99.58,81.79,72.87,722.11,420.8,846.5,3255,4073,922.5,3830,3313,5685,1162,118.4,545.5,61.8,435.8,2062,3220,1229.5,1216,1891.5,2460,3034,212.95,1468,13.36,15.15,1.03,12.52,10.05,4.5169,1.15,19.58,95.6,4.61
